,Title,Description
1520,The Imposters,"Dora Frenhofer, a once successful but now aging and embittered novelist, knows her mind is going. She is determined, however, to finish her final book, and reverse her fortunes, before time runs out. Alone in her London home during the pandemic, she creates, and is in turn created by, the fascinating real characters from her own life. Like a twenty-first-century Scheherazade, Dora spins stories to ward off her end. From New Delhi to New York, Copenhagen to Los Angeles, Australia to Syria to Paris, Dora’s chapters trot the globe, inhabiting the perspectives of her missing brother, her estranged daughter, her erstwhile lover, and her last remaining friend, among others in her orbit. As her own life comes into ever sharper focus, so do the signal events that have made her who she is, leaving us in Dora’s thrall until, with an unforeseen twist, she snaps the final piece of the puzzle into place.The Imposters is Tom Rachman at his inimitable best. With his trademark style—at once “deliciously ironic and deeply affectionate” (The Washington Post)—he has delivered a novel whose formal ingenuity and flamboyant technique are matched only by its humanity and generosity.\n\nFrom the author of the New York Times bestseller The Imperfectionists, the story of a chameleonic writer, and the indelible characters in her orbit, in a novel about love, the power of art, and what we leave behind  “When a Tom Rachman novel lands in the bookstores, I stop living and breathing to devour it. It’s hard to think of anyone who has a better grasp on the world we live in (and I mean, like, the entire planet) and can write about it with such entertainment and panache.”—Gary Shteyngart"
1521,Memorial,"A funny, sexy, profound dramedy about two young people at a crossroads in their relationship and the limits of love.\n\nBenson and Mike are two young guys who live together in Houston. Mike is a Japanese American chef at a Mexican restaurant and Benson\'s a Black day care teacher, and they\'ve been together for a few years -- good years -- but now they\'re not sure why they\'re still a couple. There\'s the sex, sure, and the meals Mike cooks for Benson, and, well, they love each other. \n\nBut when Mike finds out his estranged father is dying in Osaka just as his acerbic Japanese mother, Mitsuko, arrives in Texas for a visit, Mike picks up and flies across the world to say goodbye. In Japan he undergoes an extraordinary transformation, discovering the truth about his family and his past. Back home, Mitsuko and Benson are stuck living together as unconventional roommates, an absurd domestic situation that ends up meaning more to each of them than they ever could have predicted. Without Mike\'s immediate pull, Benson begins to push outwards, realizing he might just know what he wants out of life and have the goods to get it. \n\nBoth men will change in ways that will either make them stronger together, or fracture everything they\'ve ever known. And just maybe they\'ll all be okay in the end. Memorial is a funny and profound story about family in all its strange forms, joyful and hard-won vulnerability, becoming who you\'re supposed to be, and the limits of love."
1522,The Getaway Girls,"One morning, Connie McColl wakes up and decides to swap her ordinary life, for an extraordinary adventure…  Connie McColl is finally free to make her own decisions for the first time in decades. And when she meets glamorous Gill and downtrodden Maggie, at a rather dull flower arranging class, it seems that she’s not the only one dreaming of adventure. The three very different women all agree it’s about time they had a holiday to remember.  So they make a pact for this summer to be their best yet - and drive off into the sunset together…  As they meander their way along the beautiful beaches of France and onto the glorious delights of Italy in their luxury campervan, the new friends have plenty of fun and frolics in the sunshine. But the vacation isn’t quite what they expected…  Gill will do anything to have one last holiday romance, Connie has a surprise inheritance awaiting her in Italy, and Maggie has a secret that is going to catch up with them all…  In the end, all three women discover that the journey they thought would be their last really is just the beginning…  From the bestselling author of The Runaway Wife, The Getaway Girls is a laugh-out-loud, life-affirming journey of friendship, romance and living life to the full. If you loved The Kicking the Bucket List and The Unlikely Pilgrimage of Harold Fry this book is for you."
1523,"To Kill a Kingdom (Hundred Kingdoms, #1)","Princess Lira is siren royalty and the most lethal of them all. With the hearts of seventeen princes in her collection, she is revered across the sea. Until a twist of fate forces her to kill one of her own. To punish her daughter, the Sea Queen transforms Lira into the one thing they loathe most—a human. Robbed of her song, Lira has until the winter solstice to deliver Prince Elian’s heart to the Sea Queen or remain a human forever.\n\nThe ocean is the only place Prince Elian calls home, even though he is heir to the most powerful kingdom in the world. Hunting sirens is more than an unsavory hobby—it’s his calling. When he rescues a drowning woman in the ocean, she’s more than what she appears. She promises to help him find the key to destroying all of sirenkind for good—But can he trust her? And just how many deals will Elian have to barter to eliminate mankind’s greatest enemy?"
1524,The Bookshop by the Bay,"The Bookshop by the Bay is a breezy, escapist beach read from powerhouse bestselling women’s fiction author Pamela Kelley.Two lifelong friends. One bookshop by the beach. And the summer that could change everything.Jess loves her work as a high-profile lawyer in the respectable and austere city of Charleston. But when she finds her husband, Parker, has been cheating on her with his assistant, she retreats, with her thirty year-old daughter Caitlin for support, to her childhood home on Cape Cod, in Chatham. Caitlin has always been bright but directionless, looking for her passion but keeps coming up blank. And Jess needs to regroup with the help of good food and wine, the company of her best friend, Allison, and come up with a plan for the future.Allison’s career has hit a low. After twenty years as an editor for the Chatham magazine, circulation is dwindling and though her boss and long-time friend, Jim, does everything to keep her, she has no choice but to take a step back. With a career on hiatus and her main relationship being with Chris, her ex-husband who is still a good friend, Allison is at a pivotal point in life. Her daughter Julia opened her own artisanal jewelry shop a year prior, and she has the kind of day-to-day fulfillment Allison yearns for.When Allison stops into her beloved local bookstore one day and learns that the owner wants to sell, a long-held dream turns into a reality, thanks to Jess. Allison and Jess set a plan in motion and what was once a place that held warm childhood memories is now theirs to run. As the two friends, along with the help of their daughters, reopen the doors of the cherished bookstore and adjacent coffee shop to the community, they also open themselves up to the possibility of romance, the bonds of mothers and daughters, and the magic of second chances."
1525,Everything the Darkness Eats," An insidious darkness threatens to devastate a rural New England village when occult forces are conjured and when bigotry is left unrestrained. \n\nAfter a recent string of disappearances in a small Connecticut town, a grieving widower with a grim secret is drawn into a dangerous ritual of dark magic by a powerful and mysterious older gentleman named Heart Crowley. Meanwhile, a member of local law enforcement tasked with uncovering the culprit responsible for the bizarre disappearances soon begins to learn of a current of unbridled hatred simmering beneath the guise of the town’s idyllic community—a hatred that will eventually burst and forever change the lives of those who once found peace in the quiet town of Henley’s Edge.\n \nFrom the Bram Stoker Award®-nominated author of the viral sensation,  Things Have Gotten Worse Since We Last Spoke, Everything the Darkness Eats  is a haunting supernatural thriller from a new and exciting voice in genre fiction."
1526,Qui a tué mon père,"« Est-ce qu’il est normal d’avoir honte d’aimer ? »\n\nÉdouard Louis a publié deux livres, En finir avec Eddy Bellegueule et Histoire de la violence, qui ont été traduits dans une trentaine de langues et font l\'objet d\'adaptations théâtrales et cinématographiques."
1527,"Kitchen Garden Revival: A modern guide to creating a stylish, small-scale, low-maintenance, edible garden","Elevate your backyard veggie patch into a work of sophisticated and stylish art. Kitchen Garden Revival guides you through every aspect of kitchen gardening, from design to harvesting—with expert advice from author Nicole Johnsey Burke, founder of Rooted Garden, one of the leading US culinary landscape companies, and Gardenary, an online kitchen gardening education and resource company. Participating in the grow-your-own movement is important to both reduce your food miles and control what makes it onto your family’s table. If you’ve hesitated to take part because installing and caring for a traditional vegetable garden doesn’t seem to suit your life or your sense of style, Kitchen Garden Revival is here to show you there’s a better, more beautiful way to grow food. Instead of row after row of cabbage and pepper plants plunked into a patch of dirt in the middle of the yard, kitchen gardens are attractive, highly tailored food gardens consisting of easy-to-maintain raised planting beds laid out in an organized geometric pattern. Offering both four seasons of ornamental interest and plenty of fresh, homegrown fruits, vegetables, and herbs, kitchen gardens are the way to grow your own food in a fashionable, modern, and practical way. Kitchen gardens were once popular features of the European and early American landscape, but they fell out of favor when our agrarian roots were displaced by industrialization. With this accessible and inspirational guide, Nicole aims to return the kitchen garden to its rightful place just outside of every backdoor.Learn the art of kitchen gardening as you discover: \nWhat characteristics all kitchen gardens have in common\nHow to design and install gorgeous kitchen garden beds using metal, wood, or stone\nWhy raised beds mean reduced maintenance\nWhat crops are best for your kitchen garden \nA planting, tending, and harvesting plan developed by a pro\nSeason-by-season growing guides \nIt\'s time to join the Kitchen Garden Revival and start growing your own delicious, organic food. "
1528,Not Until Forever (Hope Springs #1),"She chose her career over him. He put his family before her. When they get a second chance, will they choose to put each other first?\n\nAs she climbs the corporate ladder, Sophie doesn’t let herself think about what she gave up when she declined Spencer’s proposal five years ago. So when she’s called home to say goodbye to her dying grandmother, she goes out of her way to avoid seeing him. Of course, that means he’s the first person she runs into. Much as she fights against it, being near him stirs up old feelings and makes her question old decisions. \n\nLeaving college to help on the family farm cost Spencer the woman he loved. But he couldn’t turn his back on his family. Now that Sophie’s back in town, Spencer’s determined to protect his heart. Only he senses something new in Sophie—something that makes him think maybe they could have a second chance. But when his family needs him again, he feels like he’s repeating the past.\n\nOnly this time, he’s not sure what choice he should make.\n\nIs God giving them a second chance? Or are the heartaches of the past too much to overcome?"
1529,Try Not to Die: At Ghostland: An Interactive Adventure,"Ghostland - a massive theme park where guests get an up-close look at real ghosts using super-advanced technology. You\'re all having a great time until a technical glitch releases all the captured spirits, causing immediate chaos and destruction. Fight to survive, find your friends, and figure out your powers because these ghosts are confused. They\'re angry. And they\'re out for blood . Good luck getting out of Ghostland. Every choice you make today is a life and death decision. Not just for you but everyone you meet. MORE THAN TWO DOZEN WAYS TO DIE. JUST ONE CORRECT PATH. DO YOU HAVE WHAT IT TAKES TO SURVIVE? If you grew up reading Goosebumps ® or Choose Your Own Adventure ® stories, you’ll love this horror story! Find out why fans say, “I had a great time with the different decisions, even though I died a lot!” Don’t wait - Click the BUY button now!"
1530,"Storm and Fury (The Harbinger, #1)","Eighteen-year-old Trinity Marrow may be going blind, but she can see and communicate with ghosts and spirits. Her unique gift is part of a secret so dangerous that she’s been in hiding for years in an isolated compound fiercely guarded by Wardens—gargoyle shape-shifters who protect humankind from demons. If the demons discover the truth about Trinity, they’ll devour her, flesh and bone, to enhance their own powers.\n\nWhen Wardens from another clan arrive with disturbing reports that something out there is killing both demons and Wardens, Trinity’s safe world implodes. Not the least because one of the outsiders is the most annoying and fascinating person she’s ever met. Zayne has secrets of his own that will upend her world yet again—but working together becomes imperative once demons breach the compound and Trinity’s secret comes to light. To save her family and maybe the world, she’ll have to put her trust in Zayne. But all bets are off as a supernatural war is unleashed…"
1531,"You Are a Badass Every Day: How to Keep Your Motivation Strong, Your Vibe High, and Your Quest for Transformation Unstoppable","From the #1 New York Times bestselling author, reach your goals with this pocket-size inspiration and guidance to keep your transformation on track\n\nFor anyone who has ever had trouble staying motivated while trailblazing towards badassery, You Are a Badass Every Day is the companion to keep you fresh, grateful, mighty, and driven. In one hundred exercises, reflections, and cues that you can use to immediately realign your mind and keep your focus unwavering, this guide will show you how to keep the breakthroughs catalyzed by Sincero\'s iconic books You Are a Badass and You Are a Badass at Making Money going. Owning your power to ascend to badassery is just the first step in creating the life you deserve--You Are A Badass Every Day is the accountability buddy you can keep in your back pocket to power through obstacles, overcome the doubts that hold you back from greatness, and keep the fires of determination roaring while you reach your goals."
1532,"Something is Killing the Children, Vol. 2","Erica Slaughter may have slain the monster terrorizing the small Wisconsin town of Archer’s Peak, but now she sets off deeper into the woods -- because the monster she killed was a mother… and now she needs to kill its children.\n\nEVIL NEVER DIES...UNLESS ERICA SLAUGHTER KILLS IT.\n\nErica Slaughter may have slain the monster terrorizing the small Wisconsin town of Archer’s Peak, but the horror is far from over. As her mysterious handler arrives in town to clean up her mess and quarantine the townsfolk, Erica sets off deeper into the woods -- because the monster she killed was a mother… and now she needs to kill its children. \n\nGLAAD Award-winning writer James Tynion IV (Batman, The Woods) and artist Werther Dell’Edera (Briggs Land) present the next chapter of the critically acclaimed series that showed the world a new kind of horror.\n\nCollects Something is Killing the Children #6-10."
1533,The Good Life: Lessons from the World&#39;s Longest Scientific Study of Happiness,"A New York Times Bestseller What makes for a happy life, a fulfilling life? A good life? In their “captivating” (The Wall Street Journal) book, the directors of the Harvard Study of Adult Development, the longest scientific study of happiness ever conducted, show that the answer to these questions may be closer than you realize.What makes a life fulfilling and meaningful? The simple but surprising answer is: relationships. The stronger our relationships, the more likely we are to live happy, satisfying, and healthier lives. In fact, the Harvard Study of Adult Development reveals that the strength of our connections with others can predict the health of both our bodies and our brains as we go through life. The invaluable insights in this book emerge from the revealing personal stories of hundreds of participants in the Harvard Study as they were followed year after year for their entire adult lives, and this wisdom was bolstered by research findings from many other studies. Relationships in all their forms—friendships, romantic partnerships, families, coworkers, tennis partners, book club members, Bible study groups—all contribute to a happier, healthier life. And as The Good Life shows us, it’s never too late to strengthen the relationships you already have, and never too late to build new ones. The Good Life provides examples of how to do this. Dr. Waldinger’s TED Talk about the Harvard Study, “What Makes a Good Life,” has been viewed more than 42 million times and is one of the ten most-watched TED talks ever. The Good Life has been praised by bestselling authors Jay Shetty “an empowering quest towards our greatest need: meaningful human connection”), Angela Duckworth (“In a crowded field of life advice...Schulz and Waldinger stand apart”), and happiness expert Laurie Santos (“Waldinger and Schulz are world experts on the counterintuitive things that make life meaningful”). With “insightful [and] interesting” (Daniel Gilbert, New York Times bestselling author of Stumbling on Happiness) life stories, The Good Life shows us how we can make our lives happier and more meaningful through our connections to others."
1534,Stone Cold Fox,"A compelling debut novel about an ambitious woman who, after a lifetime of conning alongside her mother, wants to leave her dark past behind and marry the heir to one of the country\'s wealthiest families.\n\nLike any enterprising woman, Bea knows what she’s worth and is determined to get all she deserves—it just so happens that what she deserves is to marry rich. After a lifetime of forced instruction in the art of swindling men by her mother, Bea wants nothing more than to escape her shadow, close the door on their sordid past, and disappear safely into old-money domesticity. \n \nWhen Bea finds her final mark in the perfectly dull blue-blooded Collin, she’s ready to deploy all her tricks one last time. The challenge isn’t getting the ring, but rather the approval of Collin’s family and everyone else in their tax bracket, particularly his childhood best friend Gale. Going toe-to-toe with Gale isn’t a threat to an expert like Bea, but what begins as an amusing cat-and-mouse game quickly develops into a dangerous chase. As the truth of Bea’s past threatens to come roaring out, she finds herself racing against the clock to pass the finish line before everything is exposed."
1535,"Nana. Tom 1 (Nana, #1)","Dwie dziewczyny, których nie łączy nic poza imieniem, rozpoczynają w Tokio nowy rozdział swojego życia. Nana Komatsu ma za sobą niekończącą się historię nieszczęśliwych miłości, a cały jej świat kręci się wokół chłopaków: byłych, aktualnych i przyszłych. Przeprowadza się do wielkiego miasta, by wreszcie wziąć los we własne ręce. Nana Osaki to charyzmatyczna i pewna siebie wokalistka punkowego zespołu z niewielkiego miasteczka. W dniu dwudziestych urodzin kupuje sobie w prezencie bilet do Tokio w jedną stronę, aby spełnić największe marzenie – zostać prawdziwą gwiazdą rocka.\n\nObie wyruszają w drogę tego samego dnia i zupełnym przypadkiem spotykają się w pociągu. Niedługo potem los – lub kolejny przypadek – sprawia, że te dwie dziewczyny o kompletnie odmiennych charakterach i z całkiem różnych środowisk lądują w tym samym mieszkaniu."
1536,Last Night at the Telegraph Club,"A story of love and duty set in San Francisco\'s Chinatown during the Red Scare.\n\n“That book. It was about two women, and they fell in love with each other.” And then Lily asked the question that had taken root in her, that was even now unfurling its leaves and demanding to be shown the sun: “Have you ever heard of such a thing?”\n\nSeventeen-year-old Lily Hu can’t remember exactly when the question took root, but the answer was in full bloom the moment she and Kathleen Miller walked under the flashing neon sign of a lesbian bar called the Telegraph Club.\n\nAmerica in 1954 is not a safe place for two girls to fall in love, especially not in Chinatown. Red-Scare paranoia threatens everyone, including Chinese Americans like Lily. With deportation looming over her father—despite his hard-won citizenship—Lily and Kath risk everything to let their love see the light of day."
1537,Bismarck&#39;s War: The Franco-Prussian War and the Making of Modern Europe,"\'Compassionate and thought-provoking history\' Daily Telegraph\n\n\'Superb on the human consequences of war, ravishing in its evocations of wartime life\' The Times\n\n\'Fresh and compelling ... a tour-de-force\' David A. Bell\n\nLess than a month after it marched into France in summer 1870, the Prussian army had devastated its opponents, captured Napoleon III and wrecked all assumptions about Europe\'s pecking order. Other countries looked on in helpless amazement. Pushing aside further French resistance, a new German Empire was proclaimed (as a deliberate humiliation) in the Palace of Versailles, leaving the French to face civil war in Paris, reparations and the loss of Alsace and Lorraine.\n\nBismarck\'s War tells the story of one of the most shocking reversals of fortune in modern European history. The culmination of a globally violent decade, the Franco-Prussian War was deliberately engineered by Bismarck, both to destroy French power and to unite Germany. It could not have worked better, but it also had lurking inside it the poisonous seeds of all the disasters that would ravage the twentieth century.\n\nDrawing on a remarkable variety of sources, Chrastil\'s book explores the military, technological, political and social events of the war, its human cost and the way that the sheer ferocity of war, however successful, has profound consequences for both victors and victims."
1538,Magnolia Table,"Magnolia Table is infused with Joanna Gaines\' warmth and passion for all things family, prepared and served straight from the heart of her home, with recipes inspired by dozens of Gaines family favorites and classic comfort selections from the couple\'s new Waco restaurant, Magnolia Table.\n\nJo believes there\'s no better way to celebrate family and friendship than through the art of togetherness, celebrating tradition, and sharing a great meal. Magnolia Table includes 125 classic recipes—from breakfast, lunch, and dinner to small plates, snacks, and desserts—presenting a modern selection of American classics and personal family favorites. Complemented by her love for her garden, these dishes also incorporate homegrown, seasonal produce at the peak of its flavor.\n\nFull of personal stories and beautiful photos, Magnolia Table is an invitation to share a seat at the table with Joanna Gaines and her family."
1539,My Week With Him,"From Joya Goffney, author of hit YA romcom Excuse Me While I Ugly Cry, comes a stirring coming-of-age, best friends-to-lovers romance...\n\nNikki\'s always had a difficult relationship with her mum. So when she finds herself homeless at the start of spring break, she decides to rage-quit Texas and give California a shot, to pursue her dream music career.\n\nUntil her best friend and long-time crush, Malachai, discovers her plan and convinces her to spend spring break with him, so he can show her all the reasons she should stay in Texas.\n\nBut when Nikki\'s little sister goes missing their plans are interrupted, and Nikki is forced to face her feelings about both her mum and Mal. Can Nikki find the love she\'s always been missing? And will it be enough to convince her to stay?"
1540,How to Not Die Alone: The Surprising Science That Will Help You Find Love,"A “must-read” ( The Washington Post ) funny and practical guide to help you find, build, and keep the relationship of your dreams.\n\nHave you ever looked around and wondered, “Why has everyone found love except me?” You’re not the only one. Great relationships don’t just appear in our lives—they’re the culmination of a series of decisions, including whom to date, how to end it with the wrong person, and when to commit to the right one. But our brains often get in the way. We make poor decisions, which thwart us on our quest to find lasting love.\n\nDrawing from years of research, behavioral scientist turned dating coach Logan Ury reveals the hidden forces that cause those mistakes. But awareness on its own doesn’t lead to results. You have to actually change your behavior. Ury shows you how.\n\nThis “simple-to-use guide” (Lori Gottlieb, New York Times bestselling author of Maybe You Should Talk to Someone ) focuses on a different decision in each chapter, incorporating insights from behavioral science, original research, and real-life stories. You’ll learn:\n-What’s holding you back in dating (and how to break the pattern)\n-What really matters in a long-term partner (and what really doesn’t)\n-How to overcome the perils of online dating (and make the apps work for you)\n-How to meet more people in real life (while doing activities you love)\n-How to make dates fun again (so they stop feeling like job interviews)\n-Why “the spark” is a myth (but you’ll find love anyway)\n\nThis “data-driven” ( Time ), step-by-step guide to relationships, complete with hands-on exercises, is designed to transform your life. How to Not Die Alone will help you find, build, and keep the relationship of your dreams."
1541,Kantika,"A dazzling Sephardic multigenerational saga that moves from Istanbul to Barcelona, Havana, and New York, exploring displacement, endurance, and family as home.A kaleidoscopic portrait of one family’s displacement across four countries, Kantika—“song” in Ladino—follows the joys and losses of Rebecca Cohen, feisty daughter of the Sephardic elite of early 20th-century Istanbul. When the Cohens lose their wealth and are forced to move to Barcelona and start anew, Rebecca fashions a life and self from what comes her way—a failed marriage, the need to earn a living, but also passion, pleasure and motherhood. Moving from Spain to Cuba to New York for an arranged second marriage, she faces her greatest challenge—her disabled stepdaughter, Luna, whose feistiness equals her own and whose challenges pit new family against old.Exploring identity, place and exile, Kantika also reveals how the female body—in work, art and love—serves as a site of both suffering and joy. A haunting, inspiring meditation on the tenacity of women, this lush, lyrical novel from Elizabeth Graver celebrates the insistence on seizing beauty and grabbing hold of one’s one and only life."
1542,What the Neighbors Saw,"Desperate Housewives meets The Couple Next Door in a chilling story of murder and intrigue set in a well-to-do DC suburb.\n\nSometimes the darkest acts occur in the most beautiful houses…\n\nWhen Alexis and her husband Sam buy a neglected Cape Cod house in an exclusive DC suburb, they are ecstatic. Sam is on the cusp of making partner at his law firm, Alexis is pregnant with their second child, and their glamorous neighbors welcome the couple with open arms. Things are looking up, and Alexis believes she can finally leave her troubled past behind.\n\nBut the neighborhood’s picture-perfect image is shattered when their neighbor Teddy – a handsome, successful father of three – is found dead on the steep banks of the Potomac River. The community is shaken, and as the police struggle to identify and apprehend the killer, tension in the neighborhood mounts and long-buried secrets start to emerge.\n\nIn the midst of the turmoil, Alexis takes comfort in her budding friendship with Teddy’s beautiful and charismatic widow, Blair. But as the women grow closer, the neighborhood only becomes more divided. And when the unthinkable truth behind Teddy’s murder is finally uncovered, both Blair and Alexis must reexamine their friendship and decide how far they are willing to go to preserve the lives they have so carefully constructed."
1543,"Serpent &amp; Dove (Serpent &amp; Dove, #1)","Bound as one to love, honor, or burn.\n\nTwo years ago, Louise le Blanc fled her coven and took shelter in the city of Cesarine, forsaking all magic and living off whatever she could steal. There, witches like Lou are hunted. They are feared. And they are burned.\n\nSworn to the Church as a Chasseur, Reid Diggory has lived his life by one principle: thou shalt not suffer a witch to live. His path was never meant to cross with Lou\'s, but a wicked stunt forces them into an impossible union—holy matrimony.\n\nThe war between witches and Church is an ancient one, and Lou\'s most dangerous enemies bring a fate worse than fire. Unable to ignore her growing feelings, yet powerless to change what she is, a choice must be made.\n\nAnd love makes fools of us all.\n\nThis is a previously published edition of ISBN 9780062878021. An alternate cover edition can be found here."
1544,Love Radio,"Hitch meets The Sun Is Also a Star in this novel about a self-professed teen love doctor with a popular radio segment who believes he can get a girl who hates all things romance to fall in love with him in only three dates.Prince Jones is the guy with all the answers—or so it seems. After all, at seventeen, he has his own segment on Detroit’s popular hip-hop show, Love Radio, where he dishes out advice to the brokenhearted.  Prince has always dreamed of becoming a DJ and falling in love. But being the main caretaker for his mother, who has multiple sclerosis, and his little brother means his dreams will stay just that and the only romances in his life are the ones he hears about from his listeners. Until he meets Dani Ford.  Dani isn’t checking for anybody. She’s focused on her plan: ace senior year, score a scholarship, and move to New York City to become a famous author. But her college essay keeps tripping her up and acknowledging what’s blocking her means dealing with what happened at that party a few months ago. And that’s one thing Dani can’t do.  When the romantic DJ meets the ambitious writer, sparks fly. Prince is smitten, but Dani’s not looking to get derailed. She gives Prince just three dates to convince her that he’s worth falling for. Three dates for the love expert to take his own advice, and just maybe change two lives forever."
1545,"Women We Buried, Women We Burned: A Memoir","For decades, Rachel Louise Snyder has been a fierce advocate reporting on the darkest social issues that impact women\'s lives. Women We Buried, Women We Burned is her own story.\n\nSnyder was eight years old when her mother died, and her distraught father thrust the family into an evangelical, cult-like existence halfway across the country. Furiously rebellious, she was expelled from school and home at age 16. Living out of her car and relying on strangers, Rachel found herself masquerading as an adult, talking her way into college, and eventually travelling the globe.\n\nSurvival became her reporter\'s beat. In places like India, Tibet, and Niger, she interviewed those who had been through the unimaginable. In Cambodia, where she lived for six years, she watched a country reckon with the horrors of its own recent history. When she returned to the States with a family of her own, it was with a new perspective on old family wounds, and a chance for healing from the most unexpected place.\n\nA piercing account of Snyder\'s journey from teenage runaway to reporter on the global epidemic of domestic violence, Women We Buried, Women We Burned is a memoir that embodies the transformative power of resilience."
1546,Future of Geography,"Spy satellites orbiting the moon. Space metals worth more than most countries’ GDP. People on Mars within the next ten years. This isn’t science fiction. It’s astropolitics. Humans are heading up and out, and we’re taking our power struggles with us. Soon, what happens in space will shape human history as much the mountains, rivers and seas have on Earth. It’s no coincidence that Russia, China and the USA are leading the way. The next fifty years will change the face of global politics. In this gripping book, bestselling author Tim Marshall lays bare the new geopolitical realities to show how we got here and where we’re going, covering the new space race; great-power rivalry; technology; economics; war; and what it means for all of us down here on Earth. Written with all the insight and wit that have made Marshall the UK’s most popular writer on geopolitics, this is the essential read on power, politics and the future of humanity."
1547,"La última nota (Canciones para ella, #1)","Apenas sé nada de él.\nSé que toca la guitarra.\nSé que está en una de las bandas más famosas de la ciudad.\nSé que no sonríe mucho.\nSé que lo llaman Jed.\nY sé que nunca me he sentido como me siento cuando clava sus ojos en mí.\nAsí que, apenas sé nada de él... pero sí se algo de mí misma.\nSé que hasta hace poco odiaba los tatuajes.\nSé que hasta hace poco odiaba las bandas.\nSé que tengo que intentar evitarlo.\nSé que no quiero caer.\nY también sé que lo haré.\nPero, definitivamente, sé que estoy perdida desde el momento en que me preguntó cómo me llamaba"
1548,"Better than the Movies (Better than the Movies, #1)","In this rom-com about rom-coms, in the spirit of Kasie West and Jenn Bennett, a hopeless romantic teen attempts to secure a happily-ever-after moment with her forever crush, but finds herself reluctantly drawn to the boy next door.\n\nPerpetual daydreamer Liz Buxbaum gave her heart to Michael a long time ago. But her cool, aloof forever crush never really saw her before he moved away. Now that he’s back in town, Liz will do whatever it takes to get on his radar - and maybe snag him as a prom date - even befriend Wes Bennet.\n\nThe annoyingly attractive next-door neighbor might seem like a prime candidate for romantic-comedy fantasies, but Wes has only been a pain in Liz’s butt since they were kids. Pranks involving frogs and decapitated lawn gnomes do not a potential boyfriend make. Yet, somehow, Wes and Michael are hitting it off, which means Wes is Liz’s in.\n\nBut as Liz and Wes scheme to get Liz noticed by Michael so she can have her magical prom moment, she’s shocked to discover that she likes being around Wes. And as they continue to grow closer, she must reexamine everything she thought she knew about love - and rethink her own ideas of what happily ever after should look like."
1549,"The Year of Less: How I Stopped Shopping, Gave Away My Belongings, and Discovered Life Is Worth More Than Anything You Can Buy in a Store","WALL STREET JOURNAL BESTSELLER\n\nIn her late twenties, Cait Flanders found herself stuck in the consumerism cycle that grips so many of us: earn more, buy more, want more, rinse, repeat. Even after she worked her way out of nearly \$30,000 of consumer debt, her old habits took hold again. When she realized that nothing she was doing or buying was making her happy—only keeping her from meeting her goals—she decided to set herself a challenge: she would not shop for an entire year.\n\nThe Year of Less documents Cait’s life for twelve months during which she bought only consumables: groceries, toiletries, gas for her car. Along the way, she challenged herself to consume less of many other things besides shopping. She decluttered her apartment and got rid of 70 percent of her belongings; learned how to fix things rather than throw them away; researched the zero waste movement; and completed a television ban. At every stage, she learned that the less she consumed, the more fulfilled she felt.\n\nThe challenge became a lifeline when, in the course of the year, Cait found herself in situations that turned her life upside down. In the face of hardship, she realized why she had always turned to shopping, alcohol, and food—and what it had cost her. Unable to reach for any of her usual vices, she changed habits she’d spent years perfecting and discovered what truly mattered to her.\n\nBlending Cait’s compelling story with inspiring insight and practical guidance, The Year of Less will leave you questioning what you’re holding on to in your own life—and, quite possibly, lead you to find your own path of less."
1550,Family Style: Memories of an American from Vietnam,"A moving young adult graphic memoir about a Vietnamese immigrant boy\'s search for belonging in America, perfect for fans of American Born Chinese and The Best We Could Do !\n\nThien\'s first memory isn\'t a sight or a sound. It\'s the sweetness of watermelon and the saltiness of fish. It\'s the taste of the foods he ate while adrift at sea as his family fled Vietnam.\n\nAfter the Pham family arrives at a refugee camp in Thailand, they struggle to survive. Things don\'t get much easier once they resettle in California. And through each chapter of their lives, food takes on a new meaning. Strawberries come to signify struggle as Thien\'s mom and dad look for work. Potato chips are an indulgence that bring Thien so much joy that they become a necessity.\n\nBehind every cut of steak and inside every croissant lies a story. And for Thien Pham, that story is about a search-- for belonging, for happiness, for the American dream."
1551,The Great Believers,"A dazzling new novel of friendship and redemption in the face of tragedy and loss set in 1980s Chicago and contemporary Paris\n\nIn 1985, Yale Tishman, the development director for an art gallery in Chicago, is about to pull off an amazing coup, bringing in an extraordinary collection of 1920s paintings as a gift to the gallery. Yet as his career begins to flourish, the carnage of the AIDS epidemic grows around him. One by one, his friends are dying and after his friend Nico\'s funeral, the virus circles closer and closer to Yale himself. Soon the only person he has left is Fiona, Nico\'s little sister.\n\nThirty years later, Fiona is in Paris tracking down her estranged daughter who disappeared into a cult. While staying with an old friend, a famous photographer who documented the Chicago crisis, she finds herself finally grappling with the devastating ways AIDS affected her life and her relationship with her daughter. The two intertwining stories take us through the heartbreak of the eighties and the chaos of the modern world, as both Yale and Fiona struggle to find goodness in the midst of disaster.\n\nThe Great Believers has become a critically acclaimed, indelible piece of literature; it was selected as one of New York Times Best 10 Books of the Year, a Washington Post Notable Book, a Buzzfeed Book of the Year, a Skimm Reads pick, and a pick for the New York Public Library\'s Best Books of the year."
